Date,Open,High,Low,Close,Adj Close,Volume
2020-07-08,85.589996,86.349998,84.870003,85.830002,85.268860,32100
2020-07-09,86.379997,86.379997,83.290001,83.900002,83.351471,35500
2020-07-10,84.459999,85.570000,83.500000,85.570000,85.010551,28200
2020-07-13,86.260002,86.940002,83.760002,83.760002,83.212395,36600
2020-07-14,83.720001,85.379997,83.519997,85.370003,84.811867,25300
2020-07-15,87.059998,88.900002,86.989998,88.639999,88.060486,22800
2020-07-16,87.750000,88.349998,87.370003,88.059998,87.484268,21700
2020-07-17,88.230003,89.180000,88.000000,88.820000,88.239304,15300
2020-07-20,88.820000,89.099998,88.110001,88.510002,87.931335,29300
2020-07-21,89.449997,90.470001,89.360001,90.239998,89.650017,13800
2020-07-22,89.570000,90.080002,89.320000,89.730003,89.143356,7700
2020-07-23,89.599998,90.580002,89.080002,89.680000,89.093681,11000
2020-07-24,89.019997,89.330002,88.000000,88.010002,87.434601,12300
2020-07-27,88.750000,89.269997,88.120003,89.150002,88.567154,35100
2020-07-28,88.580002,89.120003,88.110001,88.279999,87.702835,26300
2020-07-29,89.019997,89.769997,88.739998,89.629997,89.044006,7200
2020-07-30,88.379997,90.220001,88.379997,90.070000,89.481140,14900
2020-07-31,90.279999,90.279999,87.629997,88.559998,87.981003,28300
2020-08-03,89.080002,90.750000,89.050003,90.620003,90.027542,21300
2020-08-04,90.559998,91.489998,90.430000,91.410004,90.812378,15700
2020-08-05,92.339996,93.040001,92.110001,93.040001,92.431717,22200
2020-08-06,93.320000,93.360001,92.699997,93.139999,92.531059,11200
2020-08-07,92.589996,94.830002,92.589996,94.830002,94.210014,15300
2020-08-10,95.320000,97.059998,95.320000,96.589996,95.958504,85800
2020-08-11,97.230003,97.839996,95.669998,95.849998,95.223343,36100
2020-08-12,96.699997,96.699997,95.260002,95.839996,95.213409,27400
2020-08-13,95.639999,96.360001,95.639999,96.059998,95.431976,7900
