,Date,Open,High,Low,Close,Adj Close,Volume
0,2021-01-04,19.0,19.1,17.15,17.25,17.25,10022500
1,2021-01-05,17.35,18.08,17.23,17.370001000000002,17.370001000000002,4961500
2,2021-01-06,17.34,18.98,17.33,18.360001,18.360001,6056200
3,2021-01-07,18.469998999999998,19.450001,18.02,18.08,18.08,6129300
4,2021-01-08,18.18,18.299999,17.08,17.690001000000002,17.690001000000002,6482000
5,2021-01-11,19.41,20.65,19.01,19.940001000000002,19.940001000000002,14927600
6,2021-01-12,19.959999,20.4,19.32,19.950001,19.950001,7060700
7,2021-01-13,20.42,38.650002,20.030001000000002,31.4,31.4,144501700
8,2021-01-14,38.09,43.060001,33.049999,39.91,39.91,93717400
9,2021-01-15,38.490002000000004,40.75,34.009997999999996,35.5,35.5,46866400
10,2021-01-19,41.549999,45.52,36.639998999999996,39.360001000000004,39.360001000000004,74721900
11,2021-01-20,37.369999,41.189999,36.060001,39.119999,39.119999,33471800
12,2021-01-21,39.23,44.75,37.0,43.029999,43.029999,57079800
13,2021-01-22,42.59,76.760002,42.32,65.010002,65.010002,197157900
14,2021-01-25,96.730003,159.179993,61.130001,76.790001,76.790001,177874000
15,2021-01-26,88.559998,150.0,80.199997,147.979996,147.979996,178588000
16,2021-01-27,354.829987,380.0,249.0,347.51001,347.51001,93396700
17,2021-01-28,265.0,483.0,112.25,193.600006,193.600006,58815800
18,2021-01-29,379.709991,413.980011,250.0,325.0,325.0,50259200
19,2021-02-01,316.559998,322.0,212.0,225.0,225.0,37382200
20,2021-02-02,140.759995,158.0,74.220001,90.0,90.0,78183100
21,2021-02-03,112.010002,113.400002,85.25,92.410004,92.410004,42698500
22,2021-02-04,91.190002,91.5,53.330002,53.5,53.5,62427300
23,2021-02-05,54.040001000000004,95.0,51.09,63.77,63.77,80886300
24,2021-02-08,72.410004,72.660004,58.02,60.0,60.0,25687300
25,2021-02-09,56.610001000000004,57.0,46.52,50.310001,50.310001,26843100
26,2021-02-10,50.77,62.830002,46.549999,51.200001,51.200001,36455000
27,2021-02-11,50.009997999999996,55.32,48.220001,51.099998,51.099998,12997400
28,2021-02-12,50.75,55.240002000000004,48.049999,52.400002,52.400002,14498000
29,2021-02-16,52.66,53.5,49.040001000000004,49.509997999999996,49.509997999999996,8175000
30,2021-02-17,49.77,51.189999,44.560001,45.939999,45.939999,9186800
31,2021-02-18,48.490002000000004,48.869999,40.650002,40.689999,40.689999,23990600
32,2021-02-19,41.279999,43.889998999999996,38.5,40.59,40.59,14828200
33,2021-02-22,46.689999,48.509997999999996,42.400002,46.0,46.0,19476000
34,2021-02-23,44.970001,46.23,40.0,44.970001,44.970001,7565200
35,2021-02-24,44.700001,91.709999,44.700001,91.709999,91.709999,83111700
36,2021-02-25,169.559998,184.679993,101.0,108.730003,108.730003,150308800
37,2021-02-26,117.459999,142.899994,86.0,101.739998,101.739998,91963000
38,2021-03-01,104.540001,133.990005,99.970001,120.400002,120.400002,49597300
39,2021-03-02,116.93,133.199997,112.199997,118.18,118.18,33640400
40,2021-03-03,122.510002,127.75,113.120003,124.18,124.18,19173700
41,2021-03-04,125.0,147.869995,115.300003,132.350006,132.350006,32473600
42,2021-03-05,128.169998,151.529999,127.5,137.740005,137.740005,30660200
43,2021-03-08,154.889999,210.86999500000002,146.100006,194.5,194.5,63424800
44,2021-03-09,217.710007,249.850006,208.509995,246.899994,246.899994,38725800
45,2021-03-10,269.429993,348.5,172.0,265.0,265.0,71361900
46,2021-03-11,241.63999900000002,281.5,232.600006,260.0,260.0,28186000
47,2021-03-12,275.0,295.5,262.269989,264.5,264.5,25760700
48,2021-03-15,277.519989,283.0,206.0,220.13999900000002,220.13999900000002,24100400
49,2021-03-16,203.16000400000001,220.69999700000002,172.350006,208.169998,208.169998,35241900
